항목,단위,성별,연령대,표본수,P5,P10,P20,P30,P40,P50,P60,P70,P80,P90,P95,원 구간·가정
eGFR,mL/min/1.73㎡,남,50~54세,1121961,62.9,67.4,76.2,82.5,86.7,91,95.2,99.5,115.3,132.7,141.4,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,50~54세,1050236,66,73.8,83.2,88.4,93.6,98.9,108.2,118.6,129.1,139.6,144.8,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,55~59세,881718,62.4,67,76.1,81.9,85.2,88.6,91.9,95.2,98.5,118,134.1,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,55~59세,869360,65.4,72.9,82.2,86.3,90.3,94.4,98.5,108.8,122.5,136.3,143.2,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,60~64세,950550,59.2,63.5,71.1,78.6,82.8,86.3,89.7,93.2,96.6,101.1,125.7,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,60~64세,1022686,61.7,65.5,73,80.3,83.7,87.2,90.6,94,97.5,110.6,130.4,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,65~69세,626443,55.6,61.5,66.7,71.9,77.2,81.8,85.7,89.6,93.6,97.5,99.4,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,65~69세,657157,57.4,62.5,69.2,75.9,81.4,85,88.6,92.2,95.8,99.4,119.8,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,70~74세,515193,50.1,57.1,64.3,69.6,75,80.3,84.4,88.6,92.8,96.9,99,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,70~74세,567976,53.3,60.5,66.8,73.2,79.5,83.2,86.8,90.3,93.8,97.3,99,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,75~79세,228626,43.8,51.3,59,65.3,71.5,77.7,82.7,87.1,91.5,95.9,98.1,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,75~79세,246595,45.5,54.4,63.8,69.9,76,81.4,85.2,89.1,93,96.9,98.8,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,80~84세,164212,38.9,46.7,55.1,61.2,66,70.8,75.6,80.6,87.2,93.8,97.1,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,80~84세,192335,40.5,47.5,55.1,61.3,67.9,74.6,80.9,85.7,90.5,95.4,97.8,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,남,85세이상,44464,32.9,40.5,47.4,53.8,59.9,64.4,68.9,73.4,77.9,87,93.7,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
eGFR,mL/min/1.73㎡,여,85세이상,63258,32.9,40.5,49.1,54.1,58.8,63.9,69.1,74.3,79.5,89.8,95.2,30/40/50/60/80/100/150 · 끝 구간 10·200 가정
AST,U/L,남,19세이하,5724,6.5,8,11.1,14.1,17.2,20.2,23.2,26.3,29.3,36.7,47.6,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,19세이하,2930,6.4,7.7,10.5,13.2,15.9,18.6,21.4,24.1,26.8,29.6,30.9,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,20~24세,232351,6.6,8.1,11.3,14.4,17.6,20.7,23.9,27,30.2,38.9,50.4,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,20~24세,312353,6.4,7.7,10.5,13.2,16,18.7,21.4,24.2,26.9,29.6,31.2,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,25~29세,626984,6.6,8.3,11.5,14.8,18.1,21.3,24.6,27.9,31.4,40.1,51.7,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,25~29세,578394,6.4,7.8,10.5,13.3,16,18.8,21.6,24.3,27.1,29.9,33.7,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,30~34세,923370,6.7,8.4,11.8,15.3,18.7,22.1,25.5,28.9,33.9,41.9,54.7,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,30~34세,717453,6.4,7.8,10.6,13.4,16.2,18.9,21.7,24.5,27.3,30.1,35.8,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,35~39세,771715,6.8,8.5,12,15.6,19.1,22.6,26.1,29.7,35.1,43.2,54.9,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,35~39세,529249,6.4,7.8,10.6,13.4,16.2,19,21.9,24.7,27.5,30.3,36.8,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,40~44세,1102936,6.8,8.6,12.3,15.9,19.6,23.2,26.9,30.5,36.3,44.8,56.4,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,40~44세,895941,6.4,7.9,10.7,13.6,16.5,19.3,22.2,25.1,27.9,30.8,38.9,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,45~49세,894066,6.8,8.6,12.3,15.9,19.5,23.1,26.8,30.4,36,43.8,54.7,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,45~49세,714571,6.5,7.9,10.8,13.8,16.7,19.6,22.5,25.4,28.3,32.3,39.9,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,50~54세,1122456,6.8,8.7,12.4,16,19.7,23.4,27.1,30.7,36.3,44.1,54.8,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,50~54세,1050801,6.6,8.1,11.3,14.4,17.6,20.7,23.8,27,30.1,37.6,44.9,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,55~59세,882163,6.8,8.7,12.3,16,19.6,23.3,26.9,30.6,36,43.2,53.5,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,55~59세,869905,6.7,8.3,11.7,15,18.3,21.7,25,28.4,32.4,39.3,47.4,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,60~64세,951167,6.9,8.8,12.5,16.3,20.1,23.8,27.6,31.5,36.8,44.4,54.9,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,60~64세,1023401,6.8,8.5,12,15.5,19,22.5,26,29.5,34.4,40.2,49.1,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,65~69세,626970,6.9,8.8,12.6,16.4,20.1,23.9,27.7,31.7,36.8,44,53.9,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,65~69세,657686,6.8,8.6,12.1,15.7,19.3,22.8,26.4,30,34.9,40.4,49.3,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,70~74세,515608,6.9,8.8,12.6,16.4,20.2,24,27.8,31.8,36.9,43.9,53.4,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,70~74세,568370,6.8,8.6,12.3,15.9,19.6,23.2,26.8,30.5,35.5,40.8,50.1,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,75~79세,228799,6.8,8.7,12.3,16,19.6,23.3,27,30.6,35.8,41.1,50.3,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,75~79세,246766,6.8,8.6,12.1,15.7,19.2,22.8,26.4,29.9,34.8,40.3,48.9,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,80~84세,164367,6.8,8.5,12,15.6,19.1,22.6,26.1,29.6,34.5,40.2,48.5,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,80~84세,192500,6.7,8.4,11.8,15.2,18.7,22.1,25.5,28.9,33.3,39.3,46.5,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,남,85세이상,44508,6.7,8.4,11.7,15.1,18.4,21.8,25.2,28.5,32.7,39,45.8,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
AST,U/L,여,85세이상,63312,6.6,8.2,11.4,14.7,17.9,21.1,24.3,27.5,30.8,37.8,42.9,≤30/31~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,19세이하,5724,6.8,8.7,12.3,16,19.7,23.3,27,30.7,34.3,45.6,70.6,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,19세이하,2930,6.6,8.2,11.5,14.7,17.9,21.2,24.4,27.7,30.9,34.1,35.7,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,20~24세,232347,6.9,8.9,12.7,16.6,20.5,24.4,28.2,32.1,36,54.5,79.9,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,20~24세,312352,6.6,8.2,11.5,14.7,17.9,21.2,24.4,27.7,30.9,34.1,35.7,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,25~29세,626982,7.1,9.1,13.2,17.3,21.4,25.5,29.6,33.7,40.5,59.6,84.9,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,25~29세,578395,6.6,8.3,11.5,14.8,18,21.3,24.5,27.8,31,34.3,35.9,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,30~34세,923365,7.2,9.4,13.8,18.2,22.6,27,31.4,35.9,45.1,65,89.3,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,30~34세,717450,6.6,8.3,11.6,14.8,18.1,21.4,24.7,28,31.3,34.5,38.3,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,35~39세,771713,7.3,9.6,14.3,18.9,23.6,28.2,32.8,38.4,47.6,66.5,88.5,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,35~39세,529249,6.7,8.3,11.6,14.9,18.2,21.5,24.8,28.1,31.4,34.7,40,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,40~44세,1102935,7.3,9.7,14.3,19,23.7,28.3,33,38.4,46.8,63.7,83.1,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,40~44세,895939,6.7,8.3,11.6,14.9,18.3,21.6,24.9,28.2,31.5,34.8,40.4,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,45~49세,894066,7.2,9.5,14,18.4,22.9,27.4,31.9,36.6,44.2,58.9,75.7,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,45~49세,714570,6.7,8.3,11.7,15,18.4,21.7,25,28.4,31.7,35,41.8,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,50~54세,1122457,7.2,9.3,13.6,17.9,22.2,26.5,30.8,35.1,41.8,55.3,69.9,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,50~54세,1050798,6.7,8.5,11.9,15.4,18.9,22.3,25.8,29.3,32.8,37.1,48.4,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,55~59세,882164,7,9.1,13.2,17.3,21.4,25.5,29.6,33.7,39.2,50.6,64.5,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,55~59세,869902,6.8,8.6,12.1,15.7,19.2,22.8,26.4,29.9,33.5,39.8,50.9,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,60~64세,951164,7,9,13,17,21,25,28.9,32.9,37.8,48.4,60.8,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,60~64세,1023399,6.8,8.6,12.1,15.7,19.3,22.8,26.4,30,33.5,39.8,50.2,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,65~69세,626968,6.9,8.9,12.7,16.6,20.5,24.3,28.2,32,35.9,45.7,57.9,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,65~69세,657685,6.8,8.5,12.1,15.6,19.1,22.6,26.2,29.7,33.2,38.6,48.3,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,70~74세,515601,6.9,8.7,12.5,16.2,20,23.7,27.5,31.2,35,43.6,54.8,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,70~74세,568369,6.7,8.5,12,15.5,18.9,22.4,25.9,29.4,32.9,37.5,46.7,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,75~79세,228799,6.8,8.6,12.2,15.7,19.3,22.9,26.5,30,33.6,39.8,49.4,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,75~79세,246766,6.7,8.4,11.8,15.2,18.6,22,25.4,28.7,32.1,35.5,43.1,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,80~84세,164367,6.7,8.4,11.9,15.3,18.8,22.2,25.7,29.1,32.6,36,45,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,80~84세,192499,6.7,8.3,11.6,14.9,18.2,21.5,24.9,28.2,31.5,34.8,39.1,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,남,85세이상,44509,6.7,8.3,11.6,15,18.3,21.6,24.9,28.3,31.6,34.9,39.7,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
ALT,U/L,여,85세이상,63312,6.6,8.2,11.5,14.7,17.9,21.2,24.4,27.6,30.9,34.1,35.7,≤35/36~40/…/≥101 · 끝 구간 5·150 가정
감마지티피,U/L,남,19세이하,5724,11.5,13,16,19,22,24.9,27.9,30.9,33.9,41.1,55.4,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,19세이하,2930,8.5,9.4,11.5,14.7,17.9,21,24.2,27.4,30.6,33.7,35.3,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,20~24세,232345,11.6,13.2,16.4,19.7,22.9,26.1,29.3,32.5,35.7,51.6,70.1,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,20~24세,312350,8.3,9.1,10.6,13.5,16.9,20.3,23.7,27.1,30.5,33.9,35.6,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,25~29세,626945,12,13.8,17.3,20.9,24.4,28,31.5,35.1,44.3,64.9,92.9,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,25~29세,578377,8.3,9.1,10.7,13.8,17.2,20.6,24.1,27.5,30.9,34.4,37.1,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,30~34세,923252,12.3,14.3,18.3,22.2,26.2,30.2,34.2,41.2,54.7,79.5,120.2,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,30~34세,717392,8.3,9.1,10.8,14,17.5,21,24.5,28,31.4,34.9,43.2,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,35~39세,771548,12.7,14.9,19.3,23.8,28.2,32.6,38,47,61.8,92,139.1,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,35~39세,529181,8.4,9.4,11.5,15,18.4,21.8,25.3,28.7,32.2,35.6,50.2,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,40~44세,1102442,13,15.4,20.2,25,29.9,34.7,41.9,52.6,67.8,100,150,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,40~44세,895769,8.7,9.8,12.6,15.9,19.3,22.7,26.1,29.5,32.9,37.8,56.5,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,45~49세,893555,13.1,15.5,20.4,25.3,30.2,35.1,42.3,53,67.9,100.7,150.4,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,45~49세,714421,8.8,10.1,13.1,16.5,19.8,23.2,26.6,29.9,33.3,40.7,60,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,50~54세,1121724,13,15.4,20.1,24.9,29.7,34.4,41.1,50.9,64.8,97.4,146.7,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,50~54세,1050618,9.4,11.2,14.5,17.8,21.2,24.5,27.8,31.1,34.4,45.8,67.3,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,55~59세,881542,12.9,15.1,19.5,24,28.4,32.8,38.3,46.1,60.7,90.6,137.9,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,55~59세,869814,10.6,12.4,15.6,18.8,22,25.2,28.4,31.6,34.8,46.3,66.3,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,60~64세,950507,12.7,14.8,18.9,23.1,27.3,31.4,35.6,43.3,56.6,83,128.7,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,60~64세,1023312,10.8,12.5,15.6,18.7,21.8,25,28.1,31.2,34.3,44,61.8,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,65~69세,626580,12.5,14.4,18.3,22.2,26.1,30,33.8,39.8,50.8,74,112.7,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,65~69세,657626,10.8,12.4,15.5,18.6,21.7,24.7,27.8,30.9,34,42.1,59,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,70~74세,515351,12.3,14.1,17.8,21.4,25.1,28.7,32.4,36.1,45.3,66.2,97.4,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,70~74세,568317,10.8,12.4,15.5,18.5,21.6,24.6,27.7,30.7,33.8,41.3,57.8,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,75~79세,228717,12,13.8,17.2,20.7,24.2,27.6,31.1,34.5,42,60.4,86.3,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,75~79세,246744,10.5,12.2,15.3,18.3,21.4,24.4,27.5,30.5,33.5,39.9,56.1,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,80~84세,164301,11.8,13.5,16.9,20.2,23.6,27,30.3,33.7,39.6,57.5,80.1,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,80~84세,192469,10,11.9,15,18,21.1,24.2,27.2,30.3,33.3,38.9,55.2,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,남,85세이상,44497,11.3,13,16.3,19.6,22.9,26.2,29.5,32.8,36.3,53.6,74.6,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
감마지티피,U/L,여,85세이상,63307,9,10.6,13.8,16.9,20.1,23.3,26.5,29.7,32.9,36.4,53.3,<8/8~10/11~35/36~45/46~63/64~77/78~99/≥100 · 끝 구간 3·200 가정
혈색소,g/dL,남,19세이하,5724,14,14.2,14.6,15,15.2,15.5,15.7,15.9,16.3,16.6,17.8,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,19세이하,2930,11.2,11.7,12.3,12.6,12.9,13.2,13.4,13.7,13.9,14.5,14.8,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,20~24세,232346,14,14.2,14.7,15.1,15.3,15.6,15.8,16,16.4,17.1,18,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,20~24세,312350,11.4,12,12.4,12.7,13,13.3,13.5,13.8,14,14.6,14.8,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,25~29세,626975,14,14.2,14.7,15,15.3,15.5,15.7,16,16.3,16.9,18,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,25~29세,578392,11.5,12.1,12.4,12.8,13.1,13.3,13.6,13.8,14.1,14.6,14.9,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,30~34세,923357,14,14.2,14.6,15,15.2,15.5,15.7,16,16.3,17,18,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,30~34세,717445,11.3,12,12.4,12.8,13.1,13.3,13.6,13.8,14.1,14.6,14.9,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,35~39세,771704,13.8,14.2,14.6,15,15.2,15.5,15.7,16,16.3,17,18,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,35~39세,529239,11.1,11.7,12.3,12.6,13,13.3,13.5,13.8,14,14.6,14.9,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,40~44세,1102905,13.7,14.1,14.5,14.9,15.2,15.5,15.7,16,16.4,17.2,18.1,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,40~44세,895926,10.5,11.3,12.1,12.5,12.9,13.2,13.5,13.7,14,14.6,14.9,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,45~49세,894030,13.5,14.1,14.4,14.8,15.1,15.4,15.6,15.9,16.3,17.1,18,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,45~49세,714558,10.3,11.3,12.1,12.5,12.9,13.2,13.5,13.8,14.1,14.7,14.9,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,50~54세,1122428,13.4,14,14.4,14.7,15.1,15.3,15.6,15.9,16.3,17,18,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,50~54세,1050781,11.3,12,12.4,12.9,13.2,13.4,13.7,13.9,14.3,14.8,15.1,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,55~59세,882138,13.2,13.7,14.2,14.6,14.9,15.2,15.5,15.8,16.1,16.6,17.8,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,55~59세,869887,12,12.2,12.6,13,13.3,13.5,13.7,14,14.4,14.8,15.2,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,60~64세,951132,13.1,13.5,14.1,14.4,14.8,15.1,15.4,15.7,16,16.6,17.7,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,60~64세,1023379,11.8,12.2,12.6,13,13.2,13.5,13.7,14,14.4,14.8,15.1,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,65~69세,626952,12.7,13.2,13.8,14.2,14.6,14.9,15.2,15.5,15.9,16.4,17.4,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,65~69세,657681,11.5,12.1,12.4,12.8,13.1,13.4,13.6,13.9,14.3,14.8,15,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,70~74세,515586,12.2,12.9,13.5,14,14.3,14.6,15,15.3,15.7,16.3,16.9,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,70~74세,568359,11.3,11.8,12.3,12.7,13,13.3,13.6,13.8,14.2,14.7,15,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,75~79세,228793,11.7,12.3,13.1,13.5,14,14.3,14.6,15,15.4,16,16.5,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,75~79세,246763,11,11.4,12.1,12.4,12.8,13.1,13.4,13.7,14,14.6,14.9,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,80~84세,164363,11.1,11.8,12.6,13.1,13.5,13.9,14.3,14.7,15.1,15.7,16.2,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,80~84세,192494,10.4,11.1,11.7,12.1,12.5,12.8,13.1,13.5,13.8,14.4,14.8,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,남,85세이상,44508,10.3,11.1,11.9,12.4,12.9,13.3,13.7,14.1,14.6,15.2,15.7,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
혈색소,g/dL,여,85세이상,63308,9.4,10.2,11.1,11.5,12,12.3,12.7,13,13.5,14,14.6,<10/10~10.9/…/15.0~15.5/15.6~15.9/16.0~16.5/≥16.6 · 끝 구간 8·19 가정
