항목,단위,성별,연령대,표본수,P5,P10,P20,P30,P40,P50,P60,P70,P80,P90,P95,원 구간·가정
허리둘레,cm,여,60~64세,1023381,57.6,60.1,65.3,70.4,75.3,77.8,80.4,83,85.8,90.1,94.4,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,65~69세,626942,66.3,75.5,80,82.2,84.3,86.4,88.4,90.5,93.3,97.2,100.1,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,65~69세,657684,58.1,61.2,67.4,73.6,77,79.6,81.9,84.2,87.4,91.8,95.4,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,70~74세,515579,66.1,75.5,80.1,82.4,84.7,86.7,88.7,91,93.7,97.7,100.8,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,70~74세,568352,58.9,62.9,70.8,76.3,79,81.4,83.6,86,89,93.5,97.4,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,75~79세,228808,65.5,75.3,80.1,82.5,84.9,86.9,89,91.4,94,98.1,101.4,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,75~79세,246729,59.6,64.2,73.4,77.5,80.3,82.5,84.7,87.3,90,94.4,98.4,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,80~84세,164346,64.2,73.4,79.5,82.2,84.6,86.8,88.9,91.3,94.1,98.2,101.5,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,80~84세,192369,59.9,64.8,74.6,78.2,81,83.1,85.4,88,91,94.9,98.8,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,남,85세이상,44469,62.1,69.2,77.5,81,83.4,85.8,88.1,90.6,93.5,97.7,101,75~110 5cm · 끝 구간 55·125 가정
허리둘레,cm,여,85세이상,63002,58.7,62.5,69.9,76,79.3,81.8,84.1,86.9,89.9,94.5,98.5,75~110 5cm · 끝 구간 55·125 가정
수축기혈압,mmHg,남,19세이하,5725,89.4,98.9,111.1,113.9,116.6,119.3,122.8,126.6,130.6,136.2,139,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,19세이하,2930,83.5,87,94.1,101.1,108.1,112,114.8,117.6,120.9,128.3,134.2,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,남,20~24세,232358,89.5,99,111.2,114.1,117.1,120,123.6,127.1,131.1,136.7,139.5,110~180 10 단위 · 끝 구간 80·210 가정
수축기혈압,mmHg,여,20~24세,312359,83.4,86.9,93.8,100.7,107.6,111.8,114.6,117.5,120.6,127.4,132.1,110~180 10 단위 · 끝 구간 80·210 가정
